NAME,FACILITY_TYPE,BUILDING_NAME,ADDRESS,LATITUDE,LONGITUDE,LINK
"Katimavik Elementary School - Community Space","Community Center","Katimavik Elementary School - Community Space","64 Chimo Dr","45.309958345297666","-75.88948350103723",""
"Old Town Hall Community Centre","Community Center","Old Town Hall Community Centre","61 Main St","45.41299484176327","-75.67988372894224",""
"Richelieu-Vanier Community Centre","Community Center","Richelieu-Vanier Community Centre","300 Des Peres Blancs Ave","45.44392593695503","-75.6594869279524","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/richelieu-vanier-community-centre"
"Jim Tubman Chevrolet Rink","Arena","Jim Tubman Chevrolet Rink","2185 Arch St","45.38997515258139","-75.62951802604469","https://ottawa.ca/en/jim-tubman-chevrolet-rink"
"Rockcliffe Park Field House","Field House","Rockcliffe Park Field House","271 Buchan Rd","45.44972954663798","-75.67706242426539",""
"Routhier School CC","Community Center","Routhier School CC","172 Guigues Ave","45.4320652945203","-75.69150328083548","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/routhier-community-centre"
"Roy G. Hobbs Community Centre","Community Center","Roy G. Hobbs Community Centre","109 Larch Cres","45.48754036403728","-75.5214654027863","https://ottawa.ca/en/recreation-and-parks/recreation-facilities#community-buildings"
"Nepean Sportsplex Hamilton Yard Fieldhouse","Field House","Nepean Sportsplex Hamilton Yard Fieldhouse","1701 Woodroffe Ave","45.326101299043636","-75.74310450232028","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex"
"Eastvale Fieldhouse Storage","Field House","Eastvale Fieldhouse Storage","740 Eastvale Dr","45.45870063126566","-75.59812831544596",""
"Forbes Field House","Field House","Forbes Field House","669 Paul Ave","45.43961707350161","-75.64304137302797",""
"Francois Dupuis Rec Centre","Recreation Complex","François Dupuis Rec Centre","2263 Portobello Blvd","45.45478552405342","-75.46275461051242","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre"
"Bearbrook CC","Community Center","Bearbrook CC","8720 Russell Rd","45.383665234827426","-75.33717415375341","https://ottawa.ca/en/residents/rural-residents/rural-recreation#rural-facilities-contact-information"
"Huntley Community Mess Hall","Community Center","Huntley Community Mess Hall","2240 Craig's Side Rd","45.35342229088638","-76.05110272846802","https://hca-carp.ca/facility-rentals/mess-hall/"
"Pineview Community Hub","Community Center","Pineview Community Hub","1700 Blair Rd","45.4200651416853","-75.59670640272546","https://ottawa.ca/en/health-and-public-safety/ottawa-fire-services/about-ottawa-fire-services#fire-station-locations"
"Terry Fox Main Building","Recreation Complex","Terry Fox Main Building","2960 Riverside Dr","45.36985106827844","-75.69125631779418","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/terry-fox-athletic-facility"
"Jim Durrell CC","Community Center","Jim Durrell Recreation Centre","1265 Walkley Rd","45.37286377688762","-75.65865435677068","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/jim-durrell-recreation-centre"
"Manotick CC","Community Center","Manotick (Mike O’Neil) Arena","5572 Doctor Leach Dr","45.22205849625543","-75.68642663346695","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/manotick-community-centre"
"Nepean Splx Aquatics Centre","Pool - Indoor","Nepean Sportsplex","1701 Woodroffe Ave","45.326466528155585","-75.745846695065","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex"
"Hunt Club-Riverside Park Community Centre","Community Center","Hunt Club-Riverside Park Community Centre","3320 Paul Anka Dr","45.35214816432137","-75.67281137176212","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/hunt-club-riverside-park-community-centre"
"Tom Flood Arena","Arena","Tony Graham Recreation Complex - Kanata","100 Charlie Rogers Pl","45.294120156243046","-75.90122727825614","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/kanata-recreation-complex"
"Ray Friel Recreation Complex Arena #2 (Market)","Arena","Ray Friel Recreation Complex","1585 Tenth Line Rd","45.47181598673781","-75.49174456435611","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex"
"Arena - 1- Steve Yzerman","Arena","Nepean Sportsplex","1701 Woodroffe Ave","45.32753018174223","-75.74578206307694","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex"
"Nault Park Field House","Field House","Nault Park Field House","325 St.Denis St","45.44119389580893","-75.65823538791206",""
"Albion Heatherington Community Centre","Community Center","Albion Heatherington Community Centre","1560 Heatherington Rd","45.373181728728916","-75.64793806179394","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/albion-heatherington-recreation-centre"
"Galetta Community Hall","Community Center","Galetta Community Hall","119 Darwin St","45.42442747439731","-76.25956241539828","https://ottawa.ca/en/residents/rural-residents/rural-recreation#rural-facilities-contact-information"
"Fitness Centre","Fitness Centre","Ray Friel Recreation Complex","1585 Tenth Line Rd","45.47201444665651","-75.4935122512059","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex"
"The Elizabeth Manley International Skating Rink","Arena","Bob MacQuarrie Recreation Complex - Orléans","1490 Youville Dr","45.466493420856395","-75.54545670009615","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans"
"Pinecrest Rec Complex Pool","Pool - Indoor","Pinecrest Recreation Complex","2250 Torquay Ave","45.34756297605641","-75.77402093461326","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/pinecrest-recreation-complex"
"Ray Friel Recreation Complex Arena #1 - Ron Racette Arena","Arena","Ray Friel Recreation Complex","1585 Tenth Line Rd","45.47230714352353","-75.4925557861768","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex"
"Vanier Sugar Shack","Field House","Vanier Sugar Shack","320 Des Peres Blancs Ave","45.44433408327178","-75.66249331701881",""
"Greely Community Centre","Community Center","Greely Community Centre","1448 Meadow Dr","45.26108729607006","-75.55746309799176","https://ottawa.ca/en/recreation-and-parks/halls-and-community-centres"
"Harkness Park Fieldhouse","Field House","Harkness Park Fieldhouse","6050 Piperville Rd","45.365055212905965","-75.46401099696374",""
"Sandalwood Field House","Field House","Sandalwood Field House","2850 Sandalwood Dr","45.37803076168853","-75.64793525186373",""
"Kiwanis Park Secondary Structure # 1","Field House","Kiwanis Park Secondary Structure # 1","395 Levis Ave","45.43659058263772","-75.65291336572368",""
"Vars Fieldhouse","Field House","Vars Fieldhouse","5717 Rockdale Rd","45.3561919150938","-75.35054136545547",""
"WBSC Fitness Centre","Fitness Centre","Walter Baker Sports Centre","100 Malvern Dr","45.28036312454462","-75.761875561055","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre"
"Surgenor Barrhaven Buick Arena Rink A","Arena","Walter Baker Sports Centre","100 Malvern Dr","45.27982639499678","-75.76197212455814","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre"
"Alexander CC","Community Center","Alexander CC","960 Silver St","45.3805287037407","-75.73142082598714","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/alexander-community-centre"
"Fitness Centre","Fitness Centre","Bob MacQuarrie Recreation Complex - Orléans","1490 Youville Dr","45.46587832976451","-75.54424624181036","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans"
"Sawmill Creek Pool","Pool - Indoor","Sawmill Creek Pool and Community Centre","3380 D'Aoust Ave","45.349727325819174","-75.63633423311315","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/sawmill-creek-community-centre-and-pool"
"Johnny Leroux Arena","Arena","Johnny Leroux Stittsville Community Arena","10 Warner-Colpitts Ln","45.260652600140205","-75.92665428191768","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/johnny-leroux-stittsville-community-arena"
"Richcraft Recreation Complex","Recreation Complex","Richcraft Recreation Complex","4101 Innovation Dr","45.34039736479766","-75.93056947320083","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata"
"Bob MacQuarrie Rec C - Orléans","Recreation Complex","Bob MacQuarrie Recreation Complex - Orléans","1490 Youville Dr","45.46633970651636","-75.5451071719073","https://ottawa.ca/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans"
"Queenswood Ridge Fieldhouse","Field House","Queenswood Ridge Fieldhouse","346 Kennedy Lane East","45.47792636832472","-75.50411849267884",""
