X,Y,FID,F560,Location,Latitude,Longitude,Shelter,Bench
-8421030.30723439,5688037.90314534,169,5867,BELFAST / COVENTRY,45.420955,-75.647403, , 
-8421011.6055377,5688053.28721653,170,8586,BELFAST / COVENTRY,45.421052,-75.647235, , 
-8421027.85801049,5688792.8661472,171,4402,FRANCES / QUEEN MARY,45.425715,-75.647381, , 
-8421039.54652631,5688899.45429398,172,4403,FRANCES / KING GEORGE,45.426387,-75.647486, , 
-8421085.18744105,5689193.84722073,173,4405,FRANCES / DONALD,45.428243,-75.647896, , 
-8420966.18722569,5687683.28266644,174,1836,TREMBLAY / BELFAST,45.418719,-75.646827, , 
-8421199.62443985,5687645.06245794,175,1837,TREMBLAY / AVENUE K,45.418478,-75.648924, , 
-8420696.90510748,5687687.8812176,176,1849,TREMBLAY / AVENUE P,45.418748,-75.644408, , 
-8420448.88502344,5687734.8242194,177,7124,TREMBLAY / AVENUE R,45.419044,-75.64218,Y, 
-8420488.96008598,5687709.60796353,178,7126,TREMBLAY / AVENUE R,45.418885,-75.64254, , 
-8420107.13393299,5687766.85951377,179,1574,TREMBLAY / AVENUE U,45.419246,-75.63911, , 
-8420108.80373042,5687749.73136051,180,7127,TREMBLAY / AVENUE U,45.419138,-75.639125, , 
-8419790.2071366,5687746.24169127,181,7129,TREMBLAY / AD. 529,45.419116,-75.636263, , 
-8419800.44854215,5687722.13548136,182,7128,TREMBLAY / AD. 530,45.418964,-75.636355, , 
-8420417.93833692,5687031.01329518,183,8595,BELFAST / TRAINYARDS,45.414606,-75.641902,Y, 
-8420589.03659159,5686916.6774134,184,8587,TRAINYARDS / TERMINAL,45.413885,-75.643439, , 
-8420575.56690104,5686997.55310645,185,8585,TRAINYARDS / BELFAST,45.414395,-75.643318, , 
-8420130.1772833,5686900.65992793,186,8582,BELFAST / AD. 805,45.413784,-75.639317, , 
-8419941.04537912,5686742.87494349,187,8583,BELFAST / AD. 830,45.412789,-75.637618, , 
-8419955.405594,5686781.72619881,188,8584,BELFAST / AD. 869,45.413034,-75.637747, , 
