OSM_TYPE,OSM_ID,NAME,CATEGORY,CUISINE,BRAND,LATITUDE,LONGITUDE
way,478555828,Amazon Cafe,cafe,,,45.2605511,-75.7679907
way,321498040,Anina's Cafe,cafe,sandwich,,45.4399736,-75.661275
way,1339883681,Anni's Café,cafe,coffee_shop;dessert;pastry;tea,,45.2880448,-75.6727975
way,479756583,Arey Tea & Coffee,cafe,,,45.4324595,-75.6475995
way,460440197,Arlington Five,cafe,,,45.4101342,-75.6929122
way,584710152,Aroma Select,cafe,,,45.394778,-75.8343347
node,1270369767,Art Brulant,cafe,,,45.6035927,-76.4897352
node,4907630483,Art House Café,cafe,,,45.4130352,-75.7023605
node,747184851,Aseer Time,cafe,,Bridgehead,45.3896629,-75.7581814
node,7638327485,Aviation Museum,cafe,,,45.4586669,-75.6442422
node,5298489412,B-Café,cafe,,,45.3481545,-75.9181606
node,5941699900,Babylon Cafe,cafe,,,45.4192828,-75.7011236
way,469951367,Badwood Coffee & Consignment,cafe,,,45.235321,-75.4744345
node,5108651138,Bake Boutique,cafe,coffee_shop,Purolator,45.3582067,-75.7386213
node,6152753715,Bar Robo,cafe,,,45.4209829,-75.6990811
node,9108244430,BBCR.ca café,cafe,,,45.4908356,-75.4824226
node,3715796853,Bean Bag Play Cafe,cafe,,,45.3978482,-75.7410243
node,11112856750,Beandigen Cafe,cafe,,,45.3992511,-75.6843639
way,481263892,Bello E Buono,cafe,,,45.4068905,-75.706703
way,597564043,Beyond Cafe,cafe,,,45.4723915,-75.5235223
way,273587693,Biscotti & cie,cafe,coffee_shop;pizza;pastry,,45.5037171,-75.8111348
way,848546832,Bistro,cafe,,,45.4222125,-75.6928549
node,7131986987,Bistro,cafe,,,45.4103321,-75.744564
way,451784424,Bits 'n Bytes,cafe,,,45.3482928,-75.7558355
node,2961990342,Blackbird Café,cafe,,,45.3879664,-76.5789502
node,6154475227,Blended Beverage Bar,cafe,bubble_tea,,45.1415272,-76.1483113
node,5635868650,Blue Spoon Atelier,cafe,,,45.1397269,-76.1463106
node,11112826342,Boho Latte,cafe,,,45.3797086,-75.6678078
node,5838522835,Bread & Sons,cafe,,,45.4177258,-75.6981987
way,616340161,Brewed Awakenings,cafe,,,45.0260553,-75.6432157
way,471172359,Brews and Blues,cafe,,,45.258009,-75.920255
way,406481942,Bridgehead,cafe,coffee_shop,Bridgehead,45.3707493,-75.7685203
way,651533596,Bridgehead,cafe,coffee_shop,Bridgehead,45.4262714,-75.6910575
node,765363806,Bridgehead,cafe,coffee_shop,Bridgehead,45.4226533,-75.6973938
node,940315054,Bridgehead,cafe,coffee_shop,Bridgehead,45.4035603,-75.6888231
node,940320797,Bridgehead,cafe,coffee_shop,Bridgehead,45.3922222,-75.6820529
node,941441313,Bridgehead,cafe,coffee_shop,Bridgehead,45.442089,-75.6720114
node,941443111,Bridgehead,cafe,coffee_shop,Bridgehead,45.4170402,-75.6898573
node,941449475,Bridgehead,cafe,coffee_shop,Bridgehead,45.3993482,-75.7345792
node,941451883,Bridgehead,cafe,coffee_shop,Bridgehead,45.4179425,-75.7025424
node,1800921194,Bridgehead,cafe,coffee_shop,Bridgehead,45.4045652,-75.7236776
node,2295959714,Bridgehead,cafe,coffee_shop,Bridgehead,45.4073291,-75.7130017
node,4733084883,Bridgehead,cafe,coffee_shop,Bridgehead,45.3481767,-75.7880337
node,4876778421,Bridgehead,cafe,coffee_shop,Bridgehead,45.395893,-75.7497205
node,6103824304,Bridgehead,cafe,coffee_shop,Bridgehead,45.4198655,-75.6932876
node,6699413254,Bridgehead,cafe,coffee_shop,Bridgehead,45.4198115,-75.6972355
node,7102203041,Bridgehead,cafe,coffee_shop,Bridgehead,45.4313799,-75.6934532
