OSM_TYPE,OSM_ID,NAME,TYPE,CUISINE,LATITUDE,LONGITUDE
way,584505117,Full Cup Cafe,cafe,,45.3971112,-75.8359909
relation,6961683,GIS cafe,cafe,,45.3493053,-75.7543711
node,5158087366,Gladstone Lounge,cafe,shisha,45.4070532,-75.7052924
way,481693120,Gong Cha,cafe,bubble_tea,45.3505304,-75.7618657
node,2104707516,Gong Cha,cafe,bubble_tea,45.4013093,-75.6875663
node,11143748353,Gong Cha,cafe,bubble_tea,45.3225545,-75.9260712
node,5302662802,Good Eats Cafe,cafe,,45.40591,-75.705283
node,10782590954,Green Leaf Bubble Tea,cafe,bubble_tea,45.2575993,-75.9196861
way,640344334,Greenleaf Bubble Tea,cafe,bubble_tea,45.3474433,-75.9237809
node,949085885,Happy Goat,cafe,,45.3934146,-75.6831073
node,4562411181,Happy Goat,cafe,,45.4280887,-75.6877731
node,5369368927,Happy Goat,cafe,coffee_shop;sandwich,45.4277156,-75.6806017
node,3703012717,Happy Goat Coffee,cafe,coffee_shop,45.4052794,-75.7172558
node,5772097463,Happy Goat Coffee,cafe,coffee_shop,45.4160915,-75.6890087
node,7961528865,Happy Goat Coffee,cafe,,45.4100042,-75.6782471
node,9820810186,Happy Goat Coffee,cafe,,45.4299227,-75.6980349
node,9820819575,Happy Goat Coffee,cafe,,45.4129335,-75.6940433
node,13109526919,Happy Goat Coffee Co.,cafe,,45.3496969,-75.7662012
node,3690306898,Happy Goat Coffee Company,cafe,,45.429895,-75.711289
node,5054736221,Happy Goat Coffee Company,cafe,,45.4040123,-75.6890954
node,5720726914,Happy Goat Coffee Company,cafe,coffee_shop,45.3928921,-75.7524152
node,5986726648,Headquarters,cafe,,45.4295625,-75.6921647
node,4829025522,Hi T Bubble tea | dessert,cafe,bubble_tea,45.4034263,-75.7247949
node,2852107352,Hog's Back Grill & Bistro,cafe,,45.3715554,-75.6960853
node,588145957,Ideal Coffee,cafe,,45.4325556,-75.6944959
node,13369711321,John's Cafe,cafe,,45.560523,-75.2470795
way,472233981,Keepin it Vegan,cafe,,45.332444,-75.7705425
node,5676880046,Kung Fu Tea,cafe,bubble_tea,45.3925011,-75.6819271
way,292663793,kuntZ Ice Cream,cafe,,45.388538,-76.5777097
node,10799475987,La Bottega Nicastro,cafe,,45.4360245,-75.7092292
node,2434101407,La Catrina Churros + Café Bar,cafe,mexican,45.4294657,-75.6923938
node,9674471790,Lava Cafe,cafe,,45.4455427,-75.6093114
node,4293629890,Lavender Pastry House,cafe,pastry,45.3984159,-75.7373417
way,479044036,Layali Baghdad,cafe,shisha,45.409922,-75.699414
way,368638885,Le Bariste & La Fleuriste,cafe,,45.4816542,-75.6428075
node,4365606189,Le Moulin De Provence,cafe,,45.4222773,-75.6971115
way,671959553,Le Social Cafe-Bistro,cafe,,45.489929,-75.5949631
way,273582562,Les Saisons Café,cafe,coffee_shop;pastry,45.503264,-75.809851
way,374560978,Level One Game Pub Cafe,cafe,,45.4270244,-75.6887439
node,5398499721,Little Jo Berry's Bakery,cafe,,45.3990103,-75.7358391
node,2092975673,Little Victories Coffee,cafe,,45.4027534,-75.6880743
node,9758250017,Little Victories Coffee,cafe,,45.423333,-75.6956236
node,11901859912,Little Victories Coffee,cafe,coffee_shop,45.4207681,-75.7007138
node,4494580713,Lollo,cafe,,45.4268473,-75.6920183
node,6060909695,Lorne Murphy Foods,cafe,,45.4071743,-75.7343978
node,6060910832,Lorne Murphy Foods,cafe,,45.405714,-75.733966
node,6171412952,Luna Crepes & Cafe,cafe,,45.3355216,-75.9084758
node,5844121486,Luxe Blooms,cafe,,45.43067,-75.6928363
node,6104060093,Manhattan's Coffee Co.,cafe,,45.4198039,-75.6956781
node,2604947798,Mantovani 1946,cafe,,45.4297926,-75.6936311
node,2685200915,Marcello's,cafe,,45.4020571,-75.7101366
node,5832594952,Marcie's Cafe,cafe,,45.3801256,-75.6332597
node,6600802818,Mari-Jo,cafe,,45.5479196,-75.2925239
node,4829277921,Marius,cafe,,45.4288751,-75.7138761
node,5297919950,Megabite Cafe,cafe,pizza;burger;coffee_shop;sandwich;fish_and_chips,45.3491167,-75.9199817
node,13341778875,Melaku Ethiopian Coffee,cafe,coffee_shop;ethiopian,45.4317872,-75.6787909
way,575369475,Melllo's Coffee Shop,cafe,,45.3564982,-75.737492
node,5868793709,Meow Tea,cafe,,45.417522,-75.6898986
node,5554845552,Mimi's In Manotick,cafe,coffee_shop,45.2292623,-75.6819607
node,4829318224,Moca Cafe,cafe,,45.4290053,-75.7157641
node,6067392241,Moca Loca,cafe,,45.462439,-75.7458213
node,12921183802,Moca Loca,cafe,coffee_shop,45.4813838,-75.6838129
way,412293230,Moca Loca Café,cafe,coffee_shop,45.4414829,-75.7331075
node,12251256801,Moca Loca Café Co Inc,cafe,coffee_shop;sandwich,45.4903102,-75.7075954
node,4846309224,Moo Shu Ice Cream,cafe,ice_cream,45.4017088,-75.7267862
way,307096811,Morning Owl,cafe,,45.3748452,-75.747984
