NAME,CATEGORY
WATFORD HOUSE,institutional
WELCOME HOUSE,institutional
WEST CARLETON SPORTS CLUB,sports_rec
WILLY'S PIZZA,fast_food
YORK STREET  BREAKFAST  PROGRAM,institutional
YOUNG MEN'S EMERGENCY AND TRANSITIONAL HOUSING PROGRAM,institutional
K,restaurant
MIFO LODYSS,institutional
MIFO LODYSSE,institutional
RED DRAGON COMICS,bar
THE SARANGI,restaurant
