COURT_TYPE,SPORT_TYPE,NAME,PARK_NAME,ADDRESS,LATITUDE,LONGITUDE,FIELD_SIZE,LIGHTS,ACCESSIBLE,WARD
"Basketball Court","basketball","Basketball Key","Chapel Hill Park","1556 Forest Valley Drive, Gloucester","45.450618202750874","-75.53844838560926","Key Court / Clé de basketball","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Charing Park","37 Chartwell Avenue, Nepean","45.33206759624332","-75.7660476516448","Small / Petit","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Chaudière Park","68 Elm Street, Ottawa","45.40983535384698","-75.71377381209943","Half / Demi","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Chapel Hill Park","1556 Forest Valley Drive, Gloucester","45.45059973315415","-75.5383223582631","Key Court / Clé de basketball","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Carleton Heights Park","1665 Apeldoorn Avenue, Ottawa","45.35927989073865","-75.70155903739726","Small / Petit","unknown","yes/oui",""
"Basketball Court","basketball","Basketball Court","Doug Rivington Park","701 Meadowridge Circle","45.34363092254659","-76.02587037445721","Small / Petit - Non standard","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Doug Frobel Park","16 Rowley Avenue, Nepean","45.34902176414885","-75.74172950321716","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Doug Thompson Pathway","Leitrim Road, Gloucester","45.1439137846335","-75.61150272894164","Key Court / Clé de basketball","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Tulip Tree Park","520 Tulip Tree Way","45.433391082760494","-75.51330582000772","Half / Demi","unknown","yes/oui",""
"Basketball Court","basketball","Basketball Key","Drumlins Park","12 Drumlins Avenue, Nepean","45.2744266878285","-75.7059057137659","Key Court / Clé de basketball","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","William Bradley Park","22 Porter Street","45.247374901351435","-75.91450090077697","Half / Demi","unknown","yes/oui",""
