neighbourhood_id,neighbourhood_name,name,shop_type,category,brand,address,latitude,longitude,osm_id,osm_type
chapel-hill-north,Chapel Hill North,PRONTO FOOD MARTS,,grocery,,3469 INNES RD,45.4470686,-75.5272507,,
chapel-hill-south,Chapel Hill South,DOLLAR TREE,,grocery,,3722 INNES RD,45.4496516,-75.5170968,,
chapel-hill-south,Chapel Hill South,DOLLARAMA,,grocery,,2020 MER BLUE RD,45.4527792,-75.5038706,,
chapel-hill-south,Chapel Hill South,FOOD BASICS,,grocery,,3712 INNES RD,45.4497538,-75.5172222,,
chapel-hill-south,Chapel Hill South,MISS GAS BAR,,grocery,,4042 INNES RD,45.4550482,-75.5050546,,
chapel-hill-south,Chapel Hill South,SHOPPERS DRUG MART,,grocery,,3940 INNES RD,45.4539941,-75.5088302,,
chapel-hill-south,Chapel Hill South,WALMART,,grocery,,3900 INNES RD,45.4527722,-75.507302,,
chapman-mills,Chapman Mills,METRO,,grocery,,3201 STRANDHERD DR,45.2745094,-75.7213031,,
chapman-mills,Chapman Mills,SHOPPERS DRUG MART,,grocery,,3151 STRANDHERD DR,45.2753291,-75.7200881,,
city-view,City view,DUTCH GROCERIES,,grocery,,1400 CLYDE AVE,45.3583259,-75.7389182,,
city-view,City view,GIANT TIGER,,grocery,,1512 MERIVALE RD,45.3567334,-75.7378655,,
city-view,City view,MARINA PHARMACY,,grocery,,1568 MERIVALE RD,45.3513546,-75.7344788,,
city-view,City view,OK MART/ RODEM NAMU/ CHOI'S FOODS,,grocery,,1508 MERIVALE RD,45.3567334,-75.7378655,,
city-view,City view,PETRO CANADA - SUPERSTOP,,grocery,,1431 WOODROFFE AVE,45.3426412,-75.7563932,,
city-view,City view,TAYBA MART,,grocery,,1558 MERIVALE RD,45.3528521,-75.7354311,,
civic-hospital,Civic Hospital,AISLE 24,,grocery,,105 CHAMPAGNE AVE S,45.3989201,-75.7114228,,
civic-hospital,Civic Hospital,DI RIENZOS GROCERY,,grocery,,111 BEECH ST,45.4000201,-75.7120537,,
colonnade-business-park,Colonnade Business Park,CIRCLE K,,grocery,,2162 PRINCE OF WALES DR,45.3340081,-75.7004715,,
colonnade-business-park,Colonnade Business Park,COSTCO,,grocery,,1849 MERIVALE RD,45.3377624,-75.7224261,,
colonnade-business-park,Colonnade Business Park,DRUMMOND'S GAS,,grocery,,1925 MERIVALE RD,45.3296023,-75.720473,,
constance-bay,Constance Bay,CONSTANCE BAY GENERAL STORE,,grocery,,115 CONSTANCE BAY RD,45.486479,-76.0736062,,
constance-bay,Constance Bay,THE LIGHTHOUSE RESTAURANT AND GROCERY,,grocery,,655 BAYVIEW DR,45.5092334,-76.0947644,,
convent-glen-orleans-woods,Convent Glen - Orléans Woods,DOLLARAMA,,grocery,,6505 JEANNE D&#39;ARC BOULEVARD,45.4799355,-75.5369293,,
convent-glen-orleans-woods,Convent Glen - Orléans Woods,PHARMACIE JEAN-COUTU,,grocery,,2701 ST. JOSEPH BOULEVARD,45.4724086,-75.5236039,,
convent-glen-orleans-woods,Convent Glen - Orléans Woods,SHOPPERS DRUG MART,,grocery,,6473 JEANNE D&#39;ARC BOULEVARD,45.47999,-75.536203,,
craig-henry-manordale,Craig Henry - Manordale,CIRCLE K,,grocery,,299 GREENBANK RD,45.3237882,-75.7773955,,
craig-henry-manordale,Craig Henry - Manordale,QUICKIE CONVENIENCE STORES,,grocery,,1 CHARTWELL AVE,45.3323407,-75.7701227,,
craig-henry-manordale,Craig Henry - Manordale,SHOPPERS DRUG MART,,grocery,,181 GREENBANK ROAD,45.3282357,-75.7795568,,
crestview-tanglewood,Crestview - Tanglewood,CIRCLE K/ TIM HORTANS,,grocery,,1545 WOODROFFE AVE,45.3344996,-75.7517885,,
crestview-tanglewood,Crestview - Tanglewood,DESI PRICE CLUB,,grocery,,1950 MERIVALE RD,45.3470219,-75.7312908,,
